raw_symbol,canonical_symbol,instrument_id,id_type,share_class,raw_weight,normalized_weight,normalization_status,normalization_source,normalization_override_flag,raw_name,isin,cusip,sedol,exchange,asset_class,price_join_required
CCEP,CCEP,CUSIP:G25839104,CUSIP,,0.207804,0.0020780399999999997,resolved_by_primary_id,canonical_master_primary_id,False,Coca-Cola Europacific Partners PLC,,G25839104,,NASDAQ,equity,True
ODFL,ODFL,CUSIP:679580100,CUSIP,,0.206564,0.00206564,resolved_by_primary_id,canonical_master_primary_id,False,Old Dominion Freight Line Inc,,679580100,,NASDAQ,equity,True
TRI,TRI,CUSIP:884903808,CUSIP,,0.202238,0.00202238,resolved_by_primary_id,canonical_master_primary_id,False,Thomson Reuters Corp,,884903808,,NASDAQ,equity,True
TTWO,TTWO,CUSIP:874054109,CUSIP,,0.192637,0.00192637,resolved_by_primary_id,canonical_master_primary_id,False,Take-Two Interactive Software Inc,,874054109,,NASDAQ,equity,True
KDP,KDP,CUSIP:49271V100,CUSIP,,0.190325,0.00190325,resolved_by_primary_id,canonical_master_primary_id,False,Keurig Dr Pepper Inc,,49271V100,,NASDAQ,equity,True
ALNY,ALNY,CUSIP:02043Q107,CUSIP,,0.189108,0.00189108,resolved_by_primary_id,canonical_master_primary_id,False,Alnylam Pharmaceuticals Inc,,02043Q107,,NASDAQ,equity,True
ROP,ROP,CUSIP:776696106,CUSIP,,0.17755,0.0017755000000000002,resolved_by_primary_id,canonical_master_primary_id,False,Roper Technologies Inc,,776696106,,NASDAQ,equity,True
PAYX,PAYX,CUSIP:704326107,CUSIP,,0.160795,0.00160795,resolved_by_primary_id,canonical_master_primary_id,False,Paychex Inc,,704326107,,NASDAQ,equity,True
AXON,AXON,CUSIP:05464C101,CUSIP,,0.155764,0.0015576400000000001,resolved_by_primary_id,canonical_master_primary_id,False,Axon Enterprise Inc,,05464C101,,NASDAQ,equity,True
CPRT,CPRT,CUSIP:217204106,CUSIP,,0.155087,0.00155087,resolved_by_primary_id,canonical_master_primary_id,False,Copart Inc,,217204106,,NASDAQ,equity,True
ARM,ARM,CUSIP:042068205,CUSIP,,0.142014,0.00142014,resolved_by_primary_id,canonical_master_primary_id,False,ARM Holdings PLC,,042068205,,NASDAQ,equity,True
INSM,INSM,CUSIP:457669307,CUSIP,,0.138322,0.0013832200000000001,resolved_by_primary_id,canonical_master_primary_id,False,Insmed Inc,,457669307,,NASDAQ,equity,True
GEHC,GEHC,CUSIP:36266G107,CUSIP,,0.134015,0.00134015,resolved_by_primary_id,canonical_master_primary_id,False,GE HealthCare Technologies Inc,,36266G107,,NASDAQ,equity,True
WDAY,WDAY,CUSIP:98138H101,CUSIP,,0.130223,0.0013022300000000001,resolved_by_primary_id,canonical_master_primary_id,False,Workday Inc,,98138H101,,NASDAQ,equity,True
KHC,KHC,CUSIP:500754106,CUSIP,,0.1282,0.0012820000000000002,resolved_by_primary_id,canonical_master_primary_id,False,Kraft Heinz Co/The,,500754106,,NASDAQ,equity,True
CTSH,CTSH,CUSIP:192446102,CUSIP,,0.120746,0.00120746,resolved_by_primary_id,canonical_master_primary_id,False,Cognizant Technology Solutions Corp,,192446102,,NASDAQ,equity,True
VRSK,VRSK,CUSIP:92345Y106,CUSIP,,0.120304,0.0012030399999999998,resolved_by_primary_id,canonical_master_primary_id,False,Verisk Analytics Inc,,92345Y106,,NASDAQ,equity,True
DXCM,DXCM,CUSIP:252131107,CUSIP,,0.113701,0.00113701,resolved_by_primary_id,canonical_master_primary_id,False,Dexcom Inc,,252131107,,NASDAQ,equity,True
ZS,ZS,CUSIP:98980G102,CUSIP,,0.108253,0.00108253,resolved_by_primary_id,canonical_master_primary_id,False,Zscaler Inc,,98980G102,,NASDAQ,equity,True
CHTR,CHTR,CUSIP:16119P108,CUSIP,,0.104727,0.00104727,resolved_by_primary_id,canonical_master_primary_id,False,Charter Communications Inc,,16119P108,,NASDAQ,equity,True
USD,USD,CUSIP:CASHUSD00,CUSIP,,0.093719,0.00093719,resolved_by_primary_id,canonical_master_primary_id,False,CASH &amp; EQUIVALENTS,,CASHUSD00,,NASDAQ,equity,True
NQM6,NQM6,CUSIP:NQM6,CUSIP,,0.081501,0.00081501,resolved_by_primary_id,canonical_master_primary_id,False,CME E-Mini NASDAQ 100 Index Future,,NQM6,,NASDAQ,equity,True
CSGP,CSGP,CUSIP:22160N109,CUSIP,,0.070187,0.00070187,resolved_by_primary_id,canonical_master_primary_id,False,CoStar Group Inc,,22160N109,,NASDAQ,equity,True
,NONE,CUSIP:FUTPLGCSH,CUSIP,,-0.000237,-2.3699999999999998e-06,resolved_by_primary_id,canonical_master_primary_id,False,CASH COLLATERAL,,FUTPLGCSH,,NASDAQ,equity,True
NQM6_,NQM6_,CUSIP:None,CUSIP,,-0.081501,-0.00081501,resolved_by_exact_symbol_map,canonical_master_symbol_exchange_share_class,False,CME E-Mini NASDAQ 100 Index Future,,,,NASDAQ,equity,True
